"Zone","n_species","Simpson_D","RaoQ","FR_abs","FR_rel","grupo","Zona"
"Zona_4",26,0.593161106816281,0.299687653216822,0.293473453599459,0.494761794438347,"Flora","Zone 4"
"Zona_5",20,0.761982578449045,0.324820034730748,0.437162543718297,0.573717242470434,"Flora","Zone 5"
"Zona_3",8,0.147869066766548,0.0694400434226031,0.0784290233439453,0.53039506543831,"Flora","Zone 3"
"Zona_1",2,0.256704342653183,0.118117936652114,0.138586406001069,0.539867789413692,"Flora","Zone 1"
"Zona_4",4,0.740451388888889,0.515357893462305,0.225093495426584,0.303994966859818,"Birds","Zone 4"
"Zona_5",4,0.697530864197531,0.521198330823311,0.17633253337422,0.252795313332952,"Birds","Zone 5"
"Zona_3",4,0.588013974737974,0.466973898204882,0.121040076533092,0.205845578052849,"Birds","Zone 3"
"Zona_1",4,0.666015625,0.395305552776694,0.270710072223306,0.406462043924729,"Birds","Zone 1"
