Nombre_cientifico,Zona_4,Zona_5,Zona_3,Zona_1
Anolis sagrei,2,3,5,0
Apis mellifera,365,0,0,0
Columbina buckleyi,0,2,14,6
Columba livia,0,0,0,4
Euphonia xanthogaster,6,0,8,4
Iguana iguana,7,2,3,0
Quiscalus mexicanus,0,0,0,1
Thraupis episcopus,4,2,0,0
Troglodytes musculus,5,2,3,0
