Nombre_cientifico,Zona_4,Zona_5,Zona_3,Zona_1
Anolis sagrei,8,6,4,7
Apis mellifera,365,0,0,0
Columbina buckleyi,4,6,12,4
Columba livia,0,0,0,5
Euphonia xanthogaster,8,4,10,4
Iguana iguana,8,1,4,0
Thraupis episcopus,6,1,2,0
Troglodytes musculus,6,1,4,0
